para_code,para,items,actualcost
030200,Corticosteroids (Respiratory),21099043,548653646.7739834
060102,Antidiabetic Drugs,41654329,545347171.6409348
020802,Oral Anticoagulants,18486373,541626862.5400445
060101,Insulin,7538314,332531643.0446884
040801,Control Of Epilepsy,28704569,278841283.0490859
090402,Enteral Nutrition,3725985,236304624.64719695
040702,Opioid Analgesics,23196389,213975882.0196098
020505,Renin-Angiotensin System Drugs,65424446,188452348.68258786
060106,Diabetic Diagnostic & Monitoring Agents,7145514,155910265.03954
030102,Antimuscarinic Bronchodilators,5444178,153085158.06358743
070402,Drugs/Urin'y Frequ'cy Enuresis & Incont,7647001,136308280.4815783
210200,DUMMY PARAGRAPH 210200,1196419,132710665.62421037
040701,Non-Opioid Analgesics And Compound Prep,34487135,128491849.94005908
140400,Vaccines And Antisera,12899442,125106841.92734253
021200,Lipid-Regulating Drugs,75997663,116388715.53712094
080304,Hormone Antagonists,3121504,114489618.12011847
100101,Non-Steroidal Anti-Inflammatory Drugs,10930630,114002942.03779037
110600,Treatment Of Glaucoma,9443945,108128805.14846082
030101,Adrenoceptor Agonists,23364049,105107369.16547838
020602,Calcium-Channel Blockers,42419537,104996615.48161173
