chemical_code,chemical,items,actualcost
0212000B0,Atorvastatin,45792988,55759286.295739725
0602010V0,Levothyroxine Sodium,32934807,62747734.82671042
0103050P0,Omeprazole,31791795,50092650.150899656
0206020A0,Amlodipine,30541931,29329631.143560134
0205051R0,Ramipril,29318773,41931828.721659966
0103050L0,Lansoprazole,26723751,33480232.309519682
0204000H0,Bisoprolol Fumarate,24905410,21124240.44829996
0906040G0,Colecalciferol,24004981,86331206.06128208
0601022B0,Metformin Hydrochloride,22375503,84576576.83409096
0209000A0,Aspirin,22205029,17516108.14652004
0212000Y0,Simvastatin,21804236,22692074.459610056
0301011R0,Salbutamol,21682586,52134666.34921991
0407010H0,Paracetamol,17344477,50066214.78358016
0403030Q0,Sertraline Hydrochloride,16732484,24636803.267700054
0407010F0,Co-Codamol (Codeine Phos/Paracetamol),15018552,67180421.73093915
0403030D0,Citalopram Hydrobromide,14048289,14698616.217469957
0403010B0,Amitriptyline Hydrochloride,13951888,25069905.483990237
0202020L0,Furosemide,11727640,21140548.756620027
0302000C0,Beclometasone Dipropionate,11293617,234589521.2829221
0205052N0,Losartan Potassium,10308491,43183125.047559865
