chemical_code,chemical,items,actualcost
0208020Z0,Apixaban,5862145,268932709.57152015
090402000,Enteral nutrition,3725985,236304624.64719704
0302000C0,Beclometasone dipropionate,11293620,234589555.4518121
0208020Y0,Rivaroxaban,4310725,201973707.17819098
0601060D0,Glucose blood testing reagents,6806705,147620366.3570605
0302000N0,Fluticasone propionate (Inhalation),4523933,138481006.46412984
0302000K0,Budesonide,3585322,118720380.54268865
0301020Q0,Tiotropium bromide,3704740,109306933.71156853
090401000,Other food for special diet preparations,888137,89162778.16313036
1404000H0,Influenza,10193903,87512930.57322991
1001010P0,Naproxen,6860836,86416825.49082908
0906040G0,Colecalciferol,24004982,86331206.53619209
0601022B0,Metformin hydrochloride,22375508,84576587.43226096
0601023X0,Sitagliptin,2473844,82875567.08865964
0601011A0,Insulin aspart,1922557,81257914.07784016
0105010B0,Mesalazine (Systemic),1467325,76587636.19951949
0601012V0,Insulin glargine,1574154,72510945.47352938
0407010F0,Co-codamol (Codeine phosphate/paracetamol),15018556,67180435.82098916
0602010V0,Levothyroxine sodium,32934810,62747736.67901042
0601023AE,Linagliptin,2136957,62041553.3196999
0704020AB,Solifenacin,2410716,57978817.99665008
0212000B0,Atorvastatin,45792990,55759288.37476972
0302000V0,Fluticasone furoate (Inhalation),1645264,55286338.2972396
0601023AB,Liraglutide,521584,53227899.08061017
0301011R0,Salbutamol,21682593,52134682.20983989
0601023AN,Empagliflozin,1310981,50417636.58955029
0103050P0,Omeprazole,31791798,50092652.600339636
0407010H0,Paracetamol,17344482,50066225.12599016
1305020D0,Calcipotriol,1089020,50018066.99882046
210200011,DUMMY CHEMICAL SUBSTANCE 210200011,256781,48844646.60388988
0601023AG,Dapagliflozin,1122646,44119431.55766031
0407020B0,Buprenorphine,2314149,43722340.76113034
0205052N0,Losartan potassium,10308492,43183128.02509986
0205051R0,Ramipril,29318775,41931830.49168996
0407020AD,Oxycodone hydrochloride,1785264,40706534.89349005
0601023AQ,Dulaglutide,539345,40497424.50996987
0601012W0,Biphasic insulin aspart,801921,39034908.597949915
0407020A0,Fentanyl,1039285,38502706.27314024
0106040M0,Macrogol 3350,6247470,38307083.499879576
0803042N0,Leuprorelin acetate,211747,37994757.384000085
0704020AE,Mirabegron,1425580,36434815.28865001
0601023AK,Alogliptin,1339787,36237982.50492977
0803042K0,Goserelin acetate,232599,36132035.31186009
0401010AD,Melatonin,1039819,35719676.647249974
0501130R0,Nitrofurantoin,4182318,35590854.77376985
130201000,Other emollient preparations,5341049,35245710.89116012
0408010H0,Lamotrigine,2939519,34878342.89637007
0601012X0,Insulin detemir,626449,34861841.13782995
0109040N0,Pancreatin,604852,34789800.016190015
0208020AA,Edoxaban,764112,34506864.40251984
0103050L0,Lansoprazole,26723753,33480233.11061968
213000001,DUMMY CHEMICAL SUBSTANCE 213000001,3430333,33086376.238779563
0408010A0,Levetiracetam,2395848,33054557.03629996
0404000M0,Methylphenidate hydrochloride,1076242,33044253.66261977
0408010W0,Sodium valproate,2517788,32398913.019620076
212200002,DUMMY CHEMICAL SUBSTANCE 212200002,6481488,32144461.66971996
0407020Q0,Morphine sulfate,5068787,31583368.041319743
0301011AB,Beclometdiprop/formoterol/glycopyrronium,696166,31231288.622600045
0402010AB,Quetiapine,3630519,31022308.14297004
0408010G0,Gabapentin,7285699,30949646.215029966
