chemical_code,chemical,items,actualcost
0212000B0,Atorvastatin,45792990,55759288.37476969
0602010V0,Levothyroxine sodium,32934810,62747736.67901041
0103050P0,Omeprazole,31791798,50092652.60033964
0206020A0,Amlodipine,30541931,29329631.143560145
0205051R0,Ramipril,29318775,41931830.491689965
0103050L0,Lansoprazole,26723753,33480233.11061968
0204000H0,Bisoprolol fumarate,24905412,21124241.267989956
0906040G0,Colecalciferol,24004982,86331206.53619209
0601022B0,Metformin hydrochloride,22375508,84576587.43226095
0209000A0,Aspirin,22205030,17516108.584250044
0212000Y0,Simvastatin,21804237,22692074.813680053
0301011R0,Salbutamol,21682593,52134682.209839895
0407010H0,Paracetamol,17344482,50066225.12599017
0403030Q0,Sertraline hydrochloride,16732486,24636804.013030045
0407010F0,Co-codamol (Codeine phosphate/paracetamol),15018556,67180435.82098916
0403030D0,Citalopram hydrobromide,14048290,14698617.27091996
0403010B0,Amitriptyline hydrochloride,13951891,25069907.647530235
0202020L0,Furosemide,11727640,21140548.756620027
0302000C0,Beclometasone dipropionate,11293620,234589555.4518121
0205052N0,Losartan potassium,10308492,43183128.02509985
1404000H0,Influenza,10193903,87512930.57322991
0209000C0,Clopidogrel,10189810,14181841.946369989
0403040X0,Mirtazapine,9639509,14610204.878719836
0202010B0,Bendroflumethiazide,8998607,6678798.015769978
0205051L0,Lisinopril,8640503,10581253.12288999
0901020G0,Folic acid,8071283,7529004.815700024
0501013B0,Amoxicillin,7782869,9879943.61811008
0704010U0,Tamsulosin hydrochloride,7610700,30768394.426040046
0408010AE,Pregabalin,7366275,26663285.36238995
0408010G0,Gabapentin,7285699,30949646.215029966
0603020T0,Prednisolone,7205898,20049717.201619975
0205052C0,Candesartan cilexetil,7125631,29919313.99551005
0208020V0,Warfarin sodium,7031366,10149266.632379955
1001010P0,Naproxen,6860836,86416825.4908291
0403030E0,Fluoxetine hydrochloride,6816859,16694600.246390006
0601021M0,Gliclazide,6812033,17815359.19963002
0601060D0,Glucose blood testing reagents,6806705,147620366.35706052
0205040D0,Doxazosin mesilate,6704239,14645701.818430012
0204000E0,Atenolol,6522337,5412101.41611
212200002,DUMMY CHEMICAL SUBSTANCE 212200002,6481488,32144461.669719964
0106040M0,Macrogol 3350,6247470,38307083.49987957
040702040,Tramadol hydrochloride,6067471,23357279.148970056
1001040C0,Allopurinol,6054433,17996214.54962001
0103010T0,Ranitidine hydrochloride,6041130,11340577.061830008
0606020A0,Alendronic acid,5912553,7318147.560270023
0208020Z0,Apixaban,5862145,268932709.57152015
0204000R0,Propranolol hydrochloride,5705789,26761168.142619718
130201000,Other emollient preparations,5341049,35245710.89116012
0401010Z0,Zopiclone,5106374,3666220.413499994
0407020Q0,Morphine sulfate,5068787,31583368.041319743
0407020C0,Codeine phosphate,4959029,13442221.614430029
0401020K0,Diazepam,4844253,8260606.542639994
0202010P0,Indapamide,4820881,12532745.052430004
0403040W0,Venlafaxine,4650427,27711881.075989746
0206010K0,Isosorbide mononitrate,4628242,16244327.793399928
0901011F0,Ferrous fumarate,4601336,10733259.930119867
0304010I0,Cetirizine hydrochloride,4542681,4962077.617179996
0302000N0,Fluticasone propionate (Inhalation),4523933,138481006.46412984
0205051M0,Perindopril erbumine,4380308,11686818.733509991
0208020Y0,Rivaroxaban,4310725,201973707.178191
1304000V0,Hydrocortisone,4199959,12371330.499729998
0501130R0,Nitrofurantoin,4182318,35590854.77376983
0101021B0,Alginic acid compound preparations,4047300,19711332.64170991
0106020M0,Senna,4042047,6865304.433859972
0501012G0,Flucloxacillin sodium,3848815,18098215.752720095
0604020C0,Finasteride,3755599,5741444.711299999
090402000,Enteral nutrition,3725985,236304624.64719707
0301020Q0,Tiotropium bromide,3704740,109306933.71156853
1003020P0,Ibuprofen,3700388,11839343.430379914
0206020F0,Felodipine,3696954,21909282.921420015
0402010AB,Quetiapine,3630519,31022308.142970044
0302000K0,Budesonide,3585322,118720380.54268864
0304010E0,Fexofenadine hydrochloride,3515195,10488184.149399985
0704050Z0,Sildenafil (Erectile Dysfunction),3512103,5419767.978059981
213000001,DUMMY CHEMICAL SUBSTANCE 213000001,3430333,33086376.238779563
1304000F0,Betamethasone valerate,3177244,15681167.957179662
210109006,DUMMY CHEMICAL SUBSTANCE 210109006,3174609,22141746.25554995
0303020G0,Montelukast,3156346,12074718.787699994
0501030I0,Doxycycline hyclate,3032555,4643710.014479996
0906026M0,Thiamine hydrochloride,2949055,6700011.950170008
0408010H0,Lamotrigine,2939519,34878342.89637007
0703010F0,Combined ethinylestradiol 30mcg,2904023,17684023.109909873
0201010F0,Digoxin,2901342,3835023.666990009
0703021Q0,Desogestrel,2873045,13656484.312769964
0901011P0,Ferrous sulfate,2837529,6682675.024750008
0202030S0,Spironolactone,2777088,4366493.837450009
1106000L0,Latanoprost,2744237,28547952.60909013
0307000J0,Carbocisteine,2737444,14094132.26904008
0901020N0,Hydroxocobalamin,2733565,7189591.244709989
0106040G0,Lactulose,2694884,7250963.873669994
0206020L0,Lercanidipine hydrochloride,2677076,10205100.819850013
0504010Y0,Quinine sulfate,2647813,7234223.860449989
0206020C0,Diltiazem hydrochloride,2619214,24619699.512270395
0403040Y0,Duloxetine hydrochloride,2596559,6475968.165380001
0212000AA,Rosuvastatin calcium,2533664,5516126.870600016
0212000X0,Pravastatin sodium,2521045,2987469.6136699985
0408010W0,Sodium valproate,2517788,32398913.019620072
0601023X0,Sitagliptin,2473844,82875567.08865966
040201060,Olanzapine,2423493,7442816.318630039
0704020AB,Solifenacin,2410716,57978817.996650085
0408010A0,Levetiracetam,2395848,33054557.03629995
0106020I0,Docusate sodium,2328133,10955352.673980022
0407020B0,Buprenorphine,2314149,43722340.76113033
0408010C0,Carbamazepine,2269174,13254835.576270137
0501011P0,Phenoxymethylpenicillin (Penicillin V),2217932,9825221.524230085
1202010U0,Mometasone furoate,2205594,7584458.120050005
0601023AE,Linagliptin,2136957,62041553.31969991
0501050B0,Clarithromycin,2105279,5315039.100370019
0102000P0,Mebeverine hydrochloride,2093923,11197239.754889991
0411000D0,Donepezil hydrochloride,2083647,2198263.6307000085
0103050E0,Esomeprazole,2049049,9295741.386160001
1001030U0,Methotrexate,2047342,16982705.770170014
1108010F0,Hypromellose,1972131,3782946.543729995
1202010C0,Beclometasone dipropionate,1969028,5997613.203200019
0601011A0,Insulin aspart,1922557,81257914.07784015
0906027G0,Vitamin B compound,1886881,7974125.918050006
0304010D0,Loratadine,1858436,1809098.4313499965
0212000L0,Ezetimibe,1851608,4545553.776609996
210102301,DUMMY CHEMICAL SUBSTANCE 210102301,1846523,11056081.226899976
0410030C0,Methadone hydrochloride,1843425,11619540.365960002
0407041T0,Sumatriptan succinate,1816680,22551522.967059962
0205052I0,Irbesartan,1807108,9980885.73493995
0407020AD,Oxycodone hydrochloride,1785264,40706534.893490046
0407010N0,Co-dydramol (Dihydrocodeine/paracetamol),1764952,6227816.688470012
213000007,DUMMY CHEMICAL SUBSTANCE 213000007,1758986,5205329.346089986
0202020D0,Bumetanide,1739229,5052980.896369997
0104020L0,Loperamide hydrochloride,1725076,6210828.787459982
1003020AF,Diclofenac diethyl,1714128,9323109.098379955
040201030,Risperidone,1711620,13104474.431120042
1001010J0,Ibuprofen,1710404,5513397.629119971
0206010F0,Glyceryl trinitrate,1688819,4886112.415410022
212200001,DUMMY CHEMICAL SUBSTANCE 212200001,1676656,10911202.719190096
0406000B0,Betahistine hydrochloride,1649733,3893500.9844000046
0302000V0,Fluticasone furoate (Inhalation),1645264,55286338.29723961
0501080W0,Trimethoprim,1642805,3132839.2254
0206020R0,Nifedipine,1613322,11630602.988369983
0205051I0,Enalapril maleate,1579571,4779473.73117998
0601012V0,Insulin glargine,1574154,72510945.47352937
0407020G0,Dihydrocodeine tartrate,1555909,6062542.390559957
0102000N0,Hyoscine butylbromide,1534585,6618074.1182800215
210109007,DUMMY CHEMICAL SUBSTANCE 210109007,1517052,10511191.46533999
0406000T0,Prochlorperazine maleate,1511492,5899932.328180002
1202010W0,Fluticasone furoate,1508471,10001808.99091006
0704020J0,Oxybutynin,1499085,15962699.27621
0105010B0,Mesalazine (Systemic),1467325,76587636.19951947
1108010B0,Carbomer 940/980,1455276,5055515.306689984
0206030N0,Nicorandil,1433941,5315107.52529
0704020AE,Mirabegron,1425580,36434815.28865001
0411000G0,Memantine hydrochloride,1382158,7796944.088700012
120101050,Dexamethasone,1376405,4535414.352689981
0601023AK,Alogliptin,1339787,36237982.50492976
210109004,DUMMY CHEMICAL SUBSTANCE 210109004,1333175,1974279.2302399995
0403030P0,Paroxetine hydrochloride,1321195,3843783.309760011
0103050R0,Pantoprazole,1319154,4971748.841040015
0601023AN,Empagliflozin,1310981,50417636.589550294
1502010J0,Lidocaine hydrochloride,1307587,18279009.846229967
0604011L0,Estradiol with progestogen,1304367,25695873.359559853
0304010W0,Promethazine hydrochloride,1297038,3597740.708840013
210109008,DUMMY CHEMICAL SUBSTANCE 210109008,1293959,7880254.185709999
0409010N0,Co-careldopa (Carbidopa/levodopa),1292711,12816415.443640081
0604011G0,Estradiol,1290094,11002062.273929944
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),1287956,3269455.4761999836
0704020N0,Tolterodine,1284167,10236381.947700026
1304000H0,Clobetasone butyrate,1268006,5075041.05741002
0403030X0,Escitalopram,1241887,4929229.946060007
1103010C0,Chloramphenicol,1211126,3191279.7194499937
0402010AD,Aripiprazole,1185222,5867700.646089976
1001030C0,Hydroxychloroquine sulfate,1160841,4367798.2790899975
0403010X0,Trazodone hydrochloride,1158689,6968866.209300018
1002020C0,Baclofen,1155999,3161803.396599999
1106000AF,Bimatoprost,1143253,18450215.720950175
0601023AG,Dapagliflozin,1122646,44119431.5576603
0106010E0,Ispaghula husk,1112269,5297091.912319996
0106020C0,Bisacodyl,1093915,4955426.70950999
1305020D0,Calcipotriol,1089020,50018066.998820454
0404000M0,Methylphenidate hydrochloride,1076242,33044253.662619773
0501030L0,Lymecycline,1074056,7318711.666060005
1310012F0,Fusidic acid,1061286,2680985.5176699967
0401020P0,Lorazepam,1060228,3912530.9328299984
0401010AD,Melatonin,1039819,35719676.64724998
0407020A0,Fentanyl,1039285,38502706.27314022
0702010G0,Estradiol,1012270,15731006.799009988
0409010K0,Co-beneldopa (Benserazide/levodopa),1008369,5857138.674819989
0901020D0,Cyanocobalamin,1002557,10960293.002920017
0408010F0,Clonazepam,988897,13046388.199050033
0304010G0,Chlorphenamine maleate,981674,1869313.900249995
1106000AI,Timolol and bimatoprost,975883,19285989.9723502
1106000AC,Brinzolamide,975591,3678993.8922599982
0503021C0,Aciclovir,964473,3416299.563019985
040801050,Topiramate,963777,15931624.897719948
0406000F0,Cyclizine hydrochloride,939832,3266929.22637
1202010M0,Fluticasone propionate (Nasal),925162,10397509.436989976
0703022M0,Medroxyprogesterone acetate,921412,5325058.7741199965
0803041L0,Letrozole,902963,2531315.0522800013
200301001,DUMMY CHEMICAL SUBSTANCE 200301001,901193,6043700.169220015
0401010T0,Temazepam,893018,2425731.1491900017
090607000,Other multivitamin preparations,890447,5873434.3022599965
0409020S0,Procyclidine hydrochloride,889409,3064581.67376
090401000,Other food for special diet preparations,888137,89162778.16313033
130201100,Emollient bath and shower preparations,878155,5160441.154440059
1104020T0,Sodium cromoglicate,871595,8899691.64967003
1304000G0,Clobetasol propionate,868556,5424692.189059979
0402030K0,Lithium carbonate,864228,1916707.032839997
0105010E0,Sulfasalazine,834749,7372168.036289992
0802010G0,Azathioprine,813530,2428971.793749996
0202030X0,Eplerenone,810438,3707855.196039991
0704050R0,Tadalafil,802385,8892782.406529974
